Sample Type	CH4 gas age years AD	CH4 (ppb)	CH4 (ppb) - NOAA04 Scale																																				
DSS	1058	282.8																																					
DSS	1105	282.8																																					
DSS	1160	283.9																																					
DSS	1207	283.6																																					
DSS	1258	282.1																																					
DSS	1276	281.1																																					
DSS	1306	281.5																																					
DSS	1350	280.1																																					
DSS	1411	279.6																																					
DSS	1429	279.5																																					
DSS	1431	282.5																																					
DSS	1560	281.7																																					
DSS	1588	281.0																								
DSS	1610	271.8																								
DSS	1629	274.5																								
DSS	1640	276.6																								
DSS	1690	276.3																								
DSS	1723	276.9																								
DSS	1734	278.2																								
DSS	1743	276.7																								
DSS	1752	276.4																								
DSS	1763	276.3																								
DSS	1774	277.8																								
DSS	1781	276.8																								
DSS	1794	281.5																								
DSS	1800	281.1																								
DSS	1814	284.3																								
DSS	1826	281.3																								
DSS	1835	283.7																				
DSS	1838	284.1																				
DE08	1844	286.5																				
DE08	1846	283.3																				
DE08	1846	285.0																				
DE08	1849	287.7																				
DSS	1852	288.6																				
DE08	1854	287.0																				
DE08	1859	286.5																				
DE08	1864	285.4																				
DE08	1867	285.2																				
DSS	1869	287.7																				
DE08	1873	287.2																				
DE08	1874	290.5																				
DE08	1884	289.8																				
DSS	1884	289.0																				
DE08	1886	290.6	
DE08	1889	291.5	
DE08	1889	292.2	
DE08	1894	293.8	
DE08-2	1896	298.2	
DE08	1899	296.0	
DE08	1899	296.2	
DE08	1902	295.7	
DE08	1902	295.0	
DE08	1904	295.1	
DE08	1909	300.4	
DE08	1912	298.4	
DE08	1914	300.0	
DE08	1914	300.7	
DE08	1919	303.3	
DE08	1919	303.6	
DE08	1923	303.2	
DE08	1924	305.2	
DE08	1929	307.8	
DE08	1929	305.7	
DE08	1933	307.2	
DE08	1935	307.8	
DE08	1937	309.0	
DE08	1938	309.6	
DE08	1939	310.9	
DE08-2	1940	311.9	
DE08	1941	310.7	
DE08-2	1942	310.3	
DE08	1942	310.9	
DE08	1942	311.6	
DSSW20K	1942.1	312.3	
DE08	1943	310.5	
DE08	1943	311.0	
DE08-2	1944	311.4	
DE08-2	1944	312.1	
DE08	1944	311.3	
DE08	1945	309.7	
DE08	1946	311.5	
DE08-2	1947	310.8	
DE08	1947	310.0	
DE08	1947	311.5	
DE08	1948	310.5	
DE08	1949	311.2	
DE08	1950	312.6	
DE08	1953	312.1	
DE08	1954	311.7	
DE08	1955	313.5	
DE08	1955	313.8	
DSSW20K	1956.1	316.3	
DE08	1957	314.0	
DE08	1958	314.4	
DE08	1959	316.3	
DE08	1964	319.0	
DE08-2	1967	322.9	
DSSW20K	1970.0	324.8	
DE08-2	1973	326.4	
DE08	1973	329.2	
DSSW20K	1983.7	341.2	
DSSW20K	1989.8	349.7	
DSSW20K	1992.4	353.6	
DSSW20K	1994.5	356.9	
DSSW20K	1996.5	359.5	
			
Sample Type	N2O gas age years AD	N2O (ppb)	
DSS	1	264.2	
DSS	30	263.1	
DSS	56	264.2	
DSS	136	266.1	
DSS	168	265.1	
DSS	228	268.3	
DSS	302	262.3	
DSS	329	261.4	
DSS	365	263.8	
DSS	428	263.5	
DSS	500	261.7	
DSS	537	260.2	
DSS	572	264.7	
DSS	596	261.1	
DSS	632	262.3	
DSS	668	261.2	
DSS	799	270.7	
DSS	857	269.4	
DSS	897	272.1	
DSS	968	266.8	
DSS	1105	268.3	
DSS	1207	267.7	
DSS	1258	267.6	
DSS	1330	269.7	
DSS	1411	266.2	
DSS	1449	267.0	
DSS	1459	266.5	
DSS	1502	268.5	
DSS	1530	272.7	
DSS	1535	270.6	
DSS	1550	270.1	
DSS	1560	270.1	
DSS	1573	269.6	
DSS	1591	268.3	
DSS	1610	266.2	
DSS	1667	267.0	
DSS	1682	270.1	
DSS	1723	269.8	
DSS	1749	270.9	
DSS	1763	274.8	
DSS	1763	273.8	
DSS	1794	271.9	
DSS	1796	272.3	
DSS	1799	272.7	
DSS	1814	271.3	
DE08-2	1833	273.1	
DSS	1836	268.1	
DE08	1841	270.4	
DE08	1846	270.5	
DE08	1855	270.5	
DE08	1862	272.3	
DE08	1864	272.1	
DE08	1870	272.9	
DE08	1873	272.6	
DE08	1878	275.8	
DE08	1883	275.9	
DE08	1887	278.3	
DE08	1893	277.5	
DE08	1894	278.8	
DE08	1899	276.7	
DSS	1901	277.0	
DE08	1902	276.4	
DSS	1905	279.7	
DE08	1912	280.8	
DE08	1913	282.4	
DE08	1916	282.2	
DE08	1919	285.5	
DE08	1924	286.5	
DE08	1925	283.0	
DE08	1925	283.5	
DSS	1927	283.1	
DE08	1929	285.5	
DE08	1933	285.3	
DE08-2	1935	288.7	
DE08	1938	285.1	
DE08	1939	286.5	
DE08	1940	287.9	
DE08-2	1941	289.9	
DSSW20K	1942	288.7	
DE08	1945	286.8	
DE08	1945	287.6	
DSS	1948	288.0	
DE08-2	1949	290.3	
DE08	1949	286.9	
DSS	1949	288.0	
DE08	1950	287.3	
DE08	1953	286.3	
DE08	1954	288.3	
DE08	1955	290.3	
DE08	1957	292.2	
DE08	1958	292.2	
DE08	1959	292.8	
DSS	1961	291.1	
DSSW20K	1962.9	291.2	
DE08	1963	294.4	
DE08	1964	293.4	
DE08	1966	292.5	
DE08	1966	292.5	
DE08	1969	292.9	
DSSW20K	1970.0	295.3	
DE08-2	1971	296.4	
DE08-2	1972	298.4	
DE08-2	1974	297.1	
DE08-2	1976	300.0	
DE08-2	1979	300.3	
DE08-2	1979	304.5	
DSSW20K	1983.7	303.6	
DSSW20K	1989.8	307.5	
DSSW20K	1992.4	309.6	
DSSW20K	1994.5	310.9	
DSSW20K	1996.5	312.3	
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
